raw,nemo,number_parser,raw_indic_conformer,raw_google_speech,raw_slang_google_speech,nemo_indic_conformer,nemo_google_speech,nemo_slang_google_speech,np_indic_conformer,np_google_speech,np_slang_google_speech
"please send rajesh two fifty,please send rajesh 250","please send rajesh 02:50,please send rajesh 250","please send rajesh 250,please send rajesh 250",please send dajes two hundred and fifty,please send rajesh 250,please send rajesh 250,please send dajes 250,please send rajesh 250,please send rajesh 250,please send dajes 250,please send rajesh 250,please send rajesh 250
"provide vijay five hundred rupees,provide vijay 500 rupees","provide vijay rs500,provide vijay 500 rupees","provide vijay 500 rupees,provide vijay 500 rupees",provide with a five hundred rupees,provide vijay 500 rupees,provide vijay 500 rupees,provide with a rs500,provide vijay 500 rupees,provide vijay 500 rupees,provide with a 500 rupees,provide vijay 500 rupees,provide vijay 500 rupees
"send three hundred rupees to madhu,send 300 rupees to madhu","send rs300 to madhu,send 300 rupees to madhu","send 300 rupees to madhu,send 300 rupees to madhu",send three hundred rupees to madhu,send 300 rupees to madhu,send 300 rupees to madhu,send rs300 to madhu,send 300 rupees to madhu,send 300 rupees to madhu,send 300 rupees to madhu,send 300 rupees to madhu,send 300 rupees to madhu
"transfer two not five to my sister,transfer 205 to my sister","transfer two not five to my sister,transfer 205 to my sister","transfer 205 to my sister,transfer 205 to my sister",transfer two naught phi to my sister,transfer to not fight to my sister,transfer to not fight to my sister,transfer two naught phi to my sister,transfer to not fight to my sister,transfer to not fight to my sister,transfer 2 naught phi to my sister,transfer to not fight to my sister,transfer to not fight to my sister
"four hundred,400","400,400","400,400",four hundred,400,400,400,400,400,400,400,400
"ask paru to pay me thousand rupees,ask paru to pay me thousand rupees","ask paru to pay me thousand rupees,ask paru to pay me thousand rupees","ask paru to pay me 1000 rupees,ask paru to pay me 1000 rupees",ask paru to pay me thousand rupees,ask paru to pay me 2000 rupees,ask paru to pay me 2000 rupees,ask paru to pay me thousand rupees,ask paru to pay me 2000 rupees,ask paru to pay me 2000 rupees,ask paru to pay me 1000 rupees,ask paru to pay me 2000 rupees,ask paru to pay me 2000 rupees
"can you check the offers of available,can you check the offers of available","can you check the offers of available,can you check the offers of available","can you check the offers of available,can you check the offers of available",can it check the offers out available,can you check the office route available,can you check the office route available,can it check the offers out available,can you check the office route available,can you check the office route available,can it check the offers out available,can you check the office route available,can you check the office route available
"please take two hundred eleven rupees from uncle,please take 211 rupees from uncle","please take rs211 from uncle,please take 211 rupees from uncle","please take 211 rupees from uncle,please take 211 rupees from uncle",please take two hundred eleven rupees from uncle,please take 211 rupees from uncle,please take 211 rupees from uncle,please take rs211 from uncle,please take 211 rupees from uncle,please take 211 rupees from uncle,please take 211 rupees from uncle,please take 211 rupees from uncle,please take 211 rupees from uncle
"i want to view the IPS today,i want to view the ips today","i want to view the ips today,i want to view the ips today","i want to view the ips today,i want to view the ips today",i want to beave the ips today,i want to leave the ipl today,i want to leave the ipl today,i want to beave the ips today,i want to leave the ipl today,i want to leave the ipl today,i want to beave the ips today,i want to leave the ipl today,i want to leave the ipl today
"all right show the history for five months,all right show the history for 5 months","all right show the history for five months,all right show the history for 5 months","all right show the history for 5 months,all right show the history for 5 months",all write s show the history for five months,alright shim should history for 5 months,alright shim should history for 5 months,all write s show the history for five months,alright shim should history for 5 months,alright shim should history for 5 months,all write s show the history for 5 months,alright shim should history for 5 months,alright shim should history for 5 months
"what's my correct balance,what's my correct balance","what's my correct balance,what's my correct balance","what's my correct balance,what's my correct balance",what is my current balance,what's my current balance,what's my current balance,what is my current balance,what's my current balance,what's my current balance,what is my current balance,what's my current balance,what's my current balance
"pay BESCOM five hundred rupees,pay bescom 500 rupees","pay bescom rs500,pay bescom 500 rupees","pay bescom 500 rupees,pay bescom 500 rupees",pay best comm five hundred rupees,free best com 500 rupees,free best com 500 rupees,pay best comm rs500,free best com 500 rupees,free best com 500 rupees,pay best comm 500 rupees,free best com 500 rupees,free best com 500 rupees
"show me balance of the first account in your list,show me balance of the first account in your list","show me balance of the 1st account in your list,show me balance of the 1st account in your list","show me balance of the first account in your list,show me balance of the first account in your list",show me balance of the first account in your list,show me balance of the first account in your list,show me balance of the first account in your list,show me balance of the 1st account in your list,show me balance of the 1st account in your list,show me balance of the 1st account in your list,show me balance of the first account in your list,show me balance of the first account in your list,show me balance of the first account in your list
"transfer four hundred to hussian,transfer 400 to hussian","transfer 400 to hussian,transfer 400 to hussian","transfer 400 to hussian,transfer 400 to hussian",transfer four hundred two z,transfer for android to pc,transfer for android to pc,transfer 402 z,transfer for android to pc,transfer for android to pc,transfer 402 z,transfer for android to pc,transfer for android to pc
"pay my utilities bill,pay my utilities bill","pay my utilities bill,pay my utilities bill","pay my utilities bill,pay my utilities bill",pay my utilities bill,pay my utilities bill,pay my utilities bill,pay my utilities bill,pay my utilities bill,pay my utilities bill,pay my utilities bill,pay my utilities bill,pay my utilities bill
"request dr. neelam five hundred rupees for sandwich delivery,request dr. neelam 500 rupees for sandwich delivery","request dr neelam rs500 for sandwich delivery,request dr neelam 500 rupees for sandwich delivery","request dr neelam 500 rupees for sandwich delivery,request dr neelam 500 rupees for sandwich delivery",request dr neelum five hundred rupees for sandwich delivery,500 rupees for sandwich delivery,500 rupees for sandwich delivery,request dr neelum rs500 for sandwich delivery,500 rupees for sandwich delivery,500 rupees for sandwich delivery,request dr neelum 500 rupees for sandwich delivery,500 rupees for sandwich delivery,500 rupees for sandwich delivery
"hundred rupees payment,100 rupees payment","hundred rupees payment,100 rupees payment","100 rupees payment,100 rupees payment",one hundred rupees payment,hundred rupees payment,hundred rupees payment,rs100 payment,hundred rupees payment,hundred rupees payment,100 rupees payment,100 rupees payment,100 rupees payment
"they have asked me to scan QR code and send five hundred rupees,they have asked me to scan qr code and send 500 rupees","they have asked me to scan qr code and send rs500,they have asked me to scan qr code and send 500 rupees","they have asked me to scan qr code and send 500 rupees,they have asked me to scan qr code and send 500 rupees",theyve asked me to scan cr coordents sent five rupees,dewas me to scan qr code in 75 rupees,dewas me to scan qr code in 75 rupees,theyve asked me to scan cr coordents sent rs5,dewas me to scan qr code in 75 rupees,dewas me to scan qr code in 75 rupees,theyve asked me to scan cr coordents sent 5 rupees,dewas me to scan qr code in 75 rupees,dewas me to scan qr code in 75 rupees
"i approve the request,i approve the request","i approve the request,i approve the request","i approve the request,i approve the request",i upprove the requests,i approve the request,i approve the request,i upprove the requests,i approve the request,i approve the request,i upprove the requests,i approve the request,i approve the request
"please make a transaction of six hundred rupees to ruthika,please make a transaction of 600 rupees to ruthika","please make a transaction of rs600 to ruthika,please make a transaction of 600 rupees to ruthika","please make a transaction of 600 rupees to ruthika,please make a transaction of 600 rupees to ruthika",please make a transaction of six hundred rupees to rdika,please make a transaction of 600 rupees to ritika,please make a transaction of 600 rupees to ritika,please make a transaction of rs600 to rdika,please make a transaction of 600 rupees to ritika,please make a transaction of 600 rupees to ritika,please make a transaction of 600 rupees to rdika,please make a transaction of 600 rupees to ritika,please make a transaction of 600 rupees to ritika
"scan and send nine thousand rupees,scan and send 9000 rupees","scan and send rs9000,scan and send 9000 rupees","scan and send 9000 rupees,scan and send 9000 rupees",scanit sent nine thousand rupees,standards and 9000 rupees,standards and 9000 rupees,scanit sent rs9000,standards and 9000 rupees,standards and 9000 rupees,scanit sent 9000 rupees,standards and 9000 rupees,standards and 9000 rupees
"approve a payment of hundred rupees,approve a payment of 100 rupees","approve a payment of hundred rupees,approve a payment of 100 rupees","approve a payment of 100 rupees,approve a payment of 100 rupees",approve a payment of one hundred rupees,approve a payment of hundred rupees,approve a payment of hundred rupees,approve a payment of rs100,approve a payment of hundred rupees,approve a payment of hundred rupees,approve a payment of 100 rupees,approve a payment of 100 rupees,approve a payment of 100 rupees
"pay one million rupees to myself,pay 1000000 rupees to myself","pay rs1 million to myself,pay 1000000 rupees to myself","pay 1000000 rupees to myself,pay 1000000 rupees to myself",pay one million rupees to myself,to myself,to myself,pay rs1 million to myself,to myself,to myself,pay 1000000 rupees to myself,to myself,to myself
"show me listed IPOs,show me listed ipos","show me listed ipos,show me listed ipos","show me listed ipos,show me listed ipos",show me distured ipos,show me destroyed ips,show me destroyed ips,show me distured ipos,show me destroyed ips,show me destroyed ips,show me distured ipos,show me destroyed ips,show me destroyed ips
"request three thousand from amar,request 3000 from amar","request 3000 from amar,request 3000 from amar","request 3000 from amar,request 3000 from amar",request three thousand from amar,request 3000 from amar,request 3000 from amar,request 3000 from amar,request 3000 from amar,request 3000 from amar,request 3000 from amar,request 3000 from amar,request 3000 from amar
"please send five thousand to abhishek,please send 5000 to abhishek","please send 5000 to abhishek,please send 5000 to abhishek","please send 5000 to abhishek,please send 5000 to abhishek",please send five thousand to abhishek,please send 5000 to abhishek,please send 5000 to abhishek,please send 5000 to abhishek,please send 5000 to abhishek,please send 5000 to abhishek,please send 5000 to abhishek,please send 5000 to abhishek,please send 5000 to abhishek
"approve a payment of two thousand rupees,approve a payment of 2000 rupees","approve a payment of rs2000,approve a payment of 2000 rupees","approve a payment of 2000 rupees,approve a payment of 2000 rupees",approve a payment of two thousand rupees,approve a payment of 2000 rupees,approve a payment of 2000 rupees,approve a payment of rs2000,approve a payment of 2000 rupees,approve a payment of 2000 rupees,approve a payment of 2000 rupees,approve a payment of 2000 rupees,approve a payment of 2000 rupees
"open scanner to pay ten rupees,open scanner to pay 10 rupees","open scanner to pay rs10,open scanner to pay 10 rupees","open scanner to pay 10 rupees,open scanner to pay 10 rupees",open scanner to pay ten rupees,open scanner to pay 10 rupees,open scanner to pay 10 rupees,open scanner to pay rs10,open scanner to pay 10 rupees,open scanner to pay 10 rupees,open scanner to pay 10 rupees,open scanner to pay 10 rupees,open scanner to pay 10 rupees
"donate some money to akshaya patra,donate some money to akshaya patra","donate some money to akshaya patra,donate some money to akshaya patra","donate some money to akshaya patra,donate some money to akshaya patra",donate some money to akshe batra,donate some money to akshay bata,donate some money to akshay bata,donate some money to akshe batra,donate some money to akshay bata,donate some money to akshay bata,donate some money to akshe batra,donate some money to akshay bata,donate some money to akshay bata
"show me all the offers,show me all the offers","show me all the offers,show me all the offers","show me all the offers,show me all the offers",show me all the offers,show me all the offers,show me all the offers,show me all the offers,show me all the offers,show me all the offers,show me all the offers,show me all the offers,show me all the offers
"please request maa to send me two hundred rupees,please request maa to send me 200 rupees","please request maa to send me rs200,please request maa to send me 200 rupees","please request maa to send me 200 rupees,please request maa to send me 200 rupees",please request ma to send me two hundred rupees,please request matu send me 200 rupees,please request matu send me 200 rupees,please request ma to send me rs200,please request matu send me 200 rupees,please request matu send me 200 rupees,please request ma to send me 200 rupees,please request matu send me 200 rupees,please request matu send me 200 rupees
"i want to view the listed IPOs,i want to view the listed ipos","i want to view the listed ipos,i want to view the listed ipos","i want to view the listed ipos,i want to view the listed ipos",i want to weave the listed ipos,i am i want to be the listed ips,i am i want to be the listed ips,i want to weave the listed ipos,i am i want to be the listed ips,i am i want to be the listed ips,i want to weave the listed ipos,i am i want to be the listed ips,i am i want to be the listed ips
"scan and send three thousand rupees,scan and send 3000 rupees","scan and send rs3000,scan and send 3000 rupees","scan and send 3000 rupees,scan and send 3000 rupees",scannon sent three thousand rupees,scanning centre 3000 rupees,scanning centre 3000 rupees,scannon sent rs3000,scanning centre 3000 rupees,scanning centre 3000 rupees,scannon sent 3000 rupees,scanning centre 3000 rupees,scanning centre 3000 rupees
"i want to invest in paytm IPO,i want to invest in paytm ipo","i want to invest in paytm ipo,i want to invest in paytm ipo","i want to invest in paytm ipo,i want to invest in paytm ipo",i want to invest in ptmipo,i want to invest in paytm ipo,i want to invest in paytm ipo,i want to invest in ptmipo,i want to invest in paytm ipo,i want to invest in paytm ipo,i want to invest in ptmipo,i want to invest in paytm ipo,i want to invest in paytm ipo
"i want to see my transaction,i want to see my transaction","i want to see my transaction,i want to see my transaction","i want to see my transaction,i want to see my transaction",i want to see my transactions,i want to see my transactions,i want to see my transactions,i want to see my transactions,i want to see my transactions,i want to see my transactions,i want to see my transactions,i want to see my transactions,i want to see my transactions
"show me the list of active IPOs,show me the list of active ipos","show me the list of active ipos,show me the list of active ipos","show me the list of active ipos,show me the list of active ipos",show me the list of active ipos,show me the list of active ips,show me the list of active ips,show me the list of active ipos,show me the list of active ips,show me the list of active ips,show me the list of active ipos,show me the list of active ips,show me the list of active ips
"one thousand,1000","1000,1000","1000,1000",we thiss have act on tion too may at dirtya,1000,1000,we thiss have act on tion too may at dirtya,1000,1000,we thiss have act on tion too may at dirtya,1000,1000
"i want to check my balance,i want to check my balance","i want to check my balance,i want to check my balance","i want to check my balance,i want to check my balance",i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance,i want to check my balance
"make couple payment to airtel of eight hundred rupees,make couple payment to airtel of 800 rupees","make couple payment to airtel of rs800,make couple payment to airtel of 800 rupees","make couple payment to airtel of 800 rupees,make couple payment to airtel of 800 rupees",make a bill payment to atel of eight hundred rupees,make a bill payment to airtel of 800 rupees,make a bill payment to airtel of 800 rupees,make a bill payment to atel of rs800,make a bill payment to airtel of 800 rupees,make a bill payment to airtel of 800 rupees,make a bill payment to atel of 800 rupees,make a bill payment to airtel of 800 rupees,make a bill payment to airtel of 800 rupees
"can u check current IPOs,can u check current ipos","can u check current ipos,can u check current ipos","can u check current ipos,can u check current ipos",can you check current iypios,can you check current ips,can you check current ips,can you check current iypios,can you check current ips,can you check current ips,can you check current iypios,can you check current ips,can you check current ips
"i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra","i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra","i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra",i would like to make a donation to akshaia patra,i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra,i would like to make a donation to akshaia patra,i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra,i would like to make a donation to akshaia patra,i would like to make a donation to akshaya patra,i would like to make a donation to akshaya patra
"please open QR scanner for hundred rupees,please open qr scanner for 100 rupees","please open qr scanner for hundred rupees,please open qr scanner for 100 rupees","please open qr scanner for 100 rupees,please open qr scanner for 100 rupees",please open qas scanner for one hundred rupees,please open qr scanner for hundred rupees,please open qr scanner for hundred rupees,please open qas scanner for rs100,please open qr scanner for hundred rupees,please open qr scanner for hundred rupees,please open qas scanner for 100 rupees,please open qr scanner for 100 rupees,please open qr scanner for 100 rupees
"donate five hundred to XY foundation,donate 500 to xy foundation","donate 500 to xy foundation,donate 500 to xy foundation","donate 500 to xy foundation,donate 500 to xy foundation",donate five hundred to x y foundations,donate 500 to xy foundations,donate 500 to xy foundations,donate 500 to x y foundations,donate 500 to xy foundations,donate 500 to xy foundations,donate 500 to x y foundations,donate 500 to xy foundations,donate 500 to xy foundations
"send three thousand rupees to lohith,send 3000 rupees to lohith","send rs3000 to lohith,send 3000 rupees to lohith","send 3000 rupees to lohith,send 3000 rupees to lohith",send three thousand rupees to lohth,send 3000 rupees to lohit,send 3000 rupees to lohit,send rs3000 to lohth,send 3000 rupees to lohit,send 3000 rupees to lohit,send 3000 rupees to lohth,send 3000 rupees to lohit,send 3000 rupees to lohit
"i wanted to pay electricity bill,i wanted to pay electricity bill","i wanted to pay electricity bill,i wanted to pay electricity bill","i wanted to pay electricity bill,i wanted to pay electricity bill",i wanted to pay electric city bill,i want to pay electric city bill,i want to pay electric city bill,i wanted to pay electric city bill,i want to pay electric city bill,i want to pay electric city bill,i wanted to pay electric city bill,i want to pay electric city bill,i want to pay electric city bill
"request 500 rupees from abhinav jdj,request 500 rupees from abhinav jdj","request 500 rupees from abhinav jdj,request 500 rupees from abhinav jdj","request 500 rupees from abhinav jdj,request 500 rupees from abhinav jdj",request five hundred rupees from abnav gdg,request 500 rupees from abhinav gdg,request 500 rupees from abhinav gdg,request rs500 from abnav gdg,request 500 rupees from abhinav gdg,request 500 rupees from abhinav gdg,request 500 rupees from abnav gdg,request 500 rupees from abhinav gdg,request 500 rupees from abhinav gdg
"pull up QR code scanner I want to pay,pull up qr code scanner i want to pay","pull up qr code scanner i want to pay,pull up qr code scanner i want to pay","pull up qr code scanner i want to pay,pull up qr code scanner i want to pay",pull up qars code scanner i want to pay,gulab qr code scanner i want to pay,gulab qr code scanner i want to pay,pull up qars code scanner i want to pay,gulab qr code scanner i want to pay,gulab qr code scanner i want to pay,pull up qars code scanner i want to pay,gulab qr code scanner i want to pay,gulab qr code scanner i want to pay
"send four k to ravi taneja,send 4000 to ravi taneja","send four k to ravi taneja,send 4000 to ravi taneja","send 4000 to ravi taneja,send 4000 to ravi taneja",send four k to raviitaneja,send 4k to ravi taneja,send 4k to ravi taneja,send four k to raviitaneja,send 4k to ravi taneja,send 4k to ravi taneja,send 4000 to raviitaneja,send 4000 to ravi taneja,send 4000 to ravi taneja
"hariharan as gift,hariharan as gift","hariharan as gift,hariharan as gift","hariharan as gift,hariharan as gift",hari herren as gift,hariharan as gift,hariharan as gift,hari herren as gift,hariharan as gift,hariharan as gift,hari herren as gift,hariharan as gift,hariharan as gift
"airtel bill payment,airtel bill payment","airtel bill payment,airtel bill payment","airtel bill payment,airtel bill payment",helt andll bill payment,airtel bill payment,airtel bill payment,helt andll bill payment,airtel bill payment,airtel bill payment,helt andll bill payment,airtel bill payment,airtel bill payment
"make payment against,make payment against","make payment against,make payment against","make payment against,make payment against",make payment against no,make payment against,make payment against,make payment against no,make payment against,make payment against,make payment against no,make payment against,make payment against
"send two hundred rupees to amar,send 200 rupees to amar","send rs200 to amar,send 200 rupees to amar","send 200 rupees to amar,send 200 rupees to amar",send two hundred rupees to amar,send 200 rupees to amar,send 200 rupees to amar,send rs200 to amar,send 200 rupees to amar,send 200 rupees to amar,send 200 rupees to amar,send 200 rupees to amar,send 200 rupees to amar
"ten k,10000","ten k,10000","10000,10000",ten k,10k,10k,ten k,10k,10k,10000,10000,10000
"i would like to make donation to PM cares fund,i would like to make donation to pm cares fund","i would like to make donation to pm cares fund,i would like to make donation to pm cares fund","i would like to make donation to pm cares fund,i would like to make donation to pm cares fund",i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund,i would like to make a donation to pm cares fund
"send hundred rupees to vishnu,send 100 rupees to vishnu","send hundred rupees to vishnu,send 100 rupees to vishnu","send 100 rupees to vishnu,send 100 rupees to vishnu",sende hundred rupees to vishnu,send hundred rupees to vishnu,send hundred rupees to vishnu,sende hundred rupees to vishnu,send hundred rupees to vishnu,send hundred rupees to vishnu,sende 100 rupees to vishnu,send 100 rupees to vishnu,send 100 rupees to vishnu
"show me how to send hundred rupees,show me how to send 100 rupees","show me how to send hundred rupees,show me how to send 100 rupees","show me how to send 100 rupees,show me how to send 100 rupees",show me how to send on hundred rupees,show me how to send hundred rupees,show me how to send hundred rupees,show me how to send on hundred rupees,show me how to send hundred rupees,show me how to send hundred rupees,show me how to send on 100 rupees,show me how to send 100 rupees,show me how to send 100 rupees
"pay TATA sky bill,pay tata sky bill","pay tata sky bill,pay tata sky bill","pay tata sky bill,pay tata sky bill",pay tatasky bill,pay tata sky bill,pay tata sky bill,pay tatasky bill,pay tata sky bill,pay tata sky bill,pay tatasky bill,pay tata sky bill,pay tata sky bill
"send my mom two thousand five hundred twenty bucks,send my mom 2520 bucks","send my mom 2520 bucks,send my mom 2520 bucks","send my mom 2520 bucks,send my mom 2520 bucks",sunmam wver two thousand fivedre twenty bucks,send my mum 2520,send my mum 2520,sunmam wver 2000 fivedre 20 bucks,send my mum 2520,send my mum 2520,sunmam wver 2000 fivedre 20 bucks,send my mum 2520,send my mum 2520
"i would like to check all the offers,i would like to check all the offers","i would like to check all the offers,i would like to check all the offers","i would like to check all the offers,i would like to check all the offers",i would like to check all the offers,i would like to check all the offers,i would like to check all the offers,i would like to check all the offers,i would like to check all the offers,i would like to check all the offers,i would like to check all the offers,i would like to check all the offers,i would like to check all the offers
"approve the mutual fund request for three thousand five hundred rupees,approve the mutual fund request for 3500 rupees","approve the mutual fund request for rs3500,approve the mutual fund request for 3500 rupees","approve the mutual fund request for 3500 rupees,approve the mutual fund request for 3500 rupees",approve the mutual fund request for threeousdi hundred rupees,approve the mutual fund request for 3500 rupees,approve the mutual fund request for 3500 rupees,approve the mutual fund request for threeousdi hundred rupees,approve the mutual fund request for 3500 rupees,approve the mutual fund request for 3500 rupees,approve the mutual fund request for threeousdi 100 rupees,approve the mutual fund request for 3500 rupees,approve the mutual fund request for 3500 rupees
"current balance,current balance","current balance,current balance","current balance,current balance",current balance,current balance,current balance,current balance,current balance,current balance,current balance,current balance,current balance
"i sent money to my friend  i want to get money back from him please request vishal,i sent money to my friend  i want to get money back from him please request vishal","i sent money to my friend i want to get money back from him please request vishal,i sent money to my friend i want to get money back from him please request vishal","i sent money to my friend  i want to get money back from him please request vishal,i sent money to my friend  i want to get money back from him please request vishal",i send money to my friend i want to get money back from him please requestsal,i send money to my friend i want to get money back from him please request vishal,i send money to my friend i want to get money back from him please request vishal,i send money to my friend i want to get money back from him please requestsal,i send money to my friend i want to get money back from him please request vishal,i send money to my friend i want to get money back from him please request vishal,i send money to my friend i want to get money back from him please requestsal,i send money to my friend i want to get money back from him please request vishal,i send money to my friend i want to get money back from him please request vishal
"show me the ongoing IPos,show me the ongoing ipos","show me the ongoing ipos,show me the ongoing ipos","show me the ongoing ipos,show me the ongoing ipos",show me the ongoing ipos,show me the ongoing ips,show me the ongoing ips,show me the ongoing ipos,show me the ongoing ips,show me the ongoing ips,show me the ongoing ipos,show me the ongoing ips,show me the ongoing ips
"request money from dad two not five rupees,request money from dad 205 rupees","request money from dad two not rs5,request money from dad 205 rupees","request money from dad 205 rupees,request money from dad 205 rupees",request money from dad to not five rupees,request money from dad to not five rupees,request money from dad to not five rupees,request money from dad to not rs5,request money from dad to not rs5,request money from dad to not rs5,request money from dad 205 rupees,request money from dad 205 rupees,request money from dad 205 rupees
"hey donate twenty thousand to akshaya patra,hey donate 20000 to akshaya patra","hey donate 20000 to akshaya patra,hey donate 20000 to akshaya patra","hey donate 20000 to akshaya patra,hey donate 20000 to akshaya patra",hey donate twenty thousand to akshai patra,hey donate 20000 to akshay patra,hey donate 20000 to akshay patra,hey donate 20000 to akshai patra,hey donate 20000 to akshay patra,hey donate 20000 to akshay patra,hey donate 20000 to akshai patra,hey donate 20000 to akshay patra,hey donate 20000 to akshay patra
"open the scanner and send two hundred rupees,open the scanner and send 200 rupees","open the scanner and send rs200,open the scanner and send 200 rupees","open the scanner and send 200 rupees,open the scanner and send 200 rupees",open the scanner and send two hundred rupees,open the scanner in send 200 rupees,open the scanner in send 200 rupees,open the scanner and send rs200,open the scanner in send 200 rupees,open the scanner in send 200 rupees,open the scanner and send 200 rupees,open the scanner in send 200 rupees,open the scanner in send 200 rupees
"QR code scanner to pay to pay,qr code scanner to pay to pay","qr code scanner to pay to pay,qr code scanner to pay to pay","qr code scanner to pay to pay,qr code scanner to pay to pay",qr cod stanner to pay to pay,qr code scanner 22 pay,qr code scanner 22 pay,qr cod stanner to pay to pay,qr code scanner 22 pay,qr code scanner 22 pay,qr cod stanner to pay to pay,qr code scanner 22 pay,qr code scanner 22 pay
"open the QR code,open the qr code","open the qr code,open the qr code","open the qr code,open the qr code",open the queu accde,open the qr code,open the qr code,open the queu accde,open the qr code,open the qr code,open the queu accde,open the qr code,open the qr code
"just open the scanner dude,just open the scanner dude","just open the scanner dude,just open the scanner dude","just open the scanner dude,just open the scanner dude",just open the scanner door,just open the scanner dude,just open the scanner dude,just open the scanner door,just open the scanner dude,just open the scanner dude,just open the scanner door,just open the scanner dude,just open the scanner dude
"scan and send ten rupees,scan and send 10 rupees","scan and send rs10,scan and send 10 rupees","scan and send 10 rupees,scan and send 10 rupees",scan and sent ten rupees,scan and send 10 rupees,scan and send 10 rupees,scan and sent rs10,scan and send 10 rupees,scan and send 10 rupees,scan and sent 10 rupees,scan and send 10 rupees,scan and send 10 rupees
"accept payment from flipkart,accept payment from flipkart","accept payment from flipkart,accept payment from flipkart","accept payment from flipkart,accept payment from flipkart",accept payment from flipcrt,accept payment from flipkart,accept payment from flipkart,accept payment from flipcrt,accept payment from flipkart,accept payment from flipkart,accept payment from flipcrt,accept payment from flipkart,accept payment from flipkart
"approve my pending payments,approve my pending payments","approve my pending payments,approve my pending payments","approve my pending payments,approve my pending payments",approve my pending payments,approve my pending payments,approve my pending payments,approve my pending payments,approve my pending payments,approve my pending payments,approve my pending payments,approve my pending payments,approve my pending payments
"shalu,shalu","shalu,shalu","shalu,shalu",salo,shalu,shalu,salo,shalu,shalu,salo,shalu,shalu
"ten thousand,10000","10000,10000","10000,10000",ten thousand,10000,10000,10000,10000,10000,10000,10000,10000
"gowri,gowri","gowri,gowri","gowri,gowri",gy,gori,gori,gy,gori,gori,gy,gori,gori
"show me the last ten transactions,show me the last 10 transactions","show me the last ten transactions,show me the last 10 transactions","show me the last 10 transactions,show me the last 10 transactions",show me the last ten transactions,show me the last 10 transactions,show me the last 10 transactions,show me the last ten transactions,show me the last 10 transactions,show me the last 10 transactions,show me the last 10 transactions,show me the last 10 transactions,show me the last 10 transactions
"send hundred rupees to anjali,send 100 rupees to anjali","send hundred rupees to anjali,send 100 rupees to anjali","send 100 rupees to anjali,send 100 rupees to anjali",send one hundred rupees to anjelly,send hundred rupees to anjali,send hundred rupees to anjali,send rs100 to anjelly,send hundred rupees to anjali,send hundred rupees to anjali,send 100 rupees to anjelly,send 100 rupees to anjali,send 100 rupees to anjali
"open QR code to make a transaction of five hundred rupees,open qr code to make a transaction of 500 rupees","open qr code to make a transaction of rs500,open qr code to make a transaction of 500 rupees","open qr code to make a transaction of 500 rupees,open qr code to make a transaction of 500 rupees",open qr code to make a transaction of five hundred rupees,open qr code to make a transaction of 500 rupees,open qr code to make a transaction of 500 rupees,open qr code to make a transaction of rs500,open qr code to make a transaction of 500 rupees,open qr code to make a transaction of 500 rupees,open qr code to make a transaction of 500 rupees,open qr code to make a transaction of 500 rupees,open qr code to make a transaction of 500 rupees
"i would like to view all the offers,i would like to view all the offers","i would like to view all the offers,i would like to view all the offers","i would like to view all the offers,i would like to view all the offers",i would like to view all the offers,i would like to view all the offers,i would like to view all the offers,i would like to view all the offers,i would like to view all the offers,i would like to view all the offers,i would like to view all the offers,i would like to view all the offers,i would like to view all the offers
"request you to view my balance,request you to view my balance","request you to view my balance,request you to view my balance","request you to view my balance,request you to view my balance",request you to view my balance,request you to view my balance,request you to view my balance,request you to view my balance,request you to view my balance,request you to view my balance,request you to view my balance,request you to view my balance,request you to view my balance
"anu,anu","anu,anu","anu,anu",hellu,hello,hello,hellu,hello,hello,hellu,hello,hello
"request you to show me my balance,request you to show me my balance","request you to show me my balance,request you to show me my balance","request you to show me my balance,request you to show me my balance",request you to show me my balance,request you to show me my balance,request you to show me my balance,request you to show me my balance,request you to show me my balance,request you to show me my balance,request you to show me my balance,request you to show me my balance,request you to show me my balance
"pay my water bill,pay my water bill","pay my water bill,pay my water bill","pay my water bill,pay my water bill",pay my water bill,pay my water bill,pay my water bill,pay my water bill,pay my water bill,pay my water bill,pay my water bill,pay my water bill,pay my water bill
"approve my payments,approve my payments","approve my payments,approve my payments","approve my payments,approve my payments",approve my payments,approve my payments,approve my payments,approve my payments,approve my payments,approve my payments,approve my payments,approve my payments,approve my payments
